,country,dislikes,likes,views,youtube_ids,youtube_links_count,total_votes,likes_ratio
0,switzerland,3244,52769,3060220,"GdSmDZckaAw, 6PxoMWtAC7M",2,56013,0.9420848731544463
1,belgium,1788,23093,1634665,"17QXkQEckE4, rgSt2NNrYsk",2,24881,0.9281379365781118
2,cyprus,5746,73303,4318704,"WPFUZswe_zw, ESkhPXfl4A0",2,79049,0.927310908423889
3,italy,74195,875712,71361954,"tEwvUu1dBTs, 22lISUXgSUw",2,949907,0.9218923536725174
4,greece,6270,70495,3295563,"Lc_b7SlK9js, ulQoRPcQVDc",2,76765,0.9183221520224061
5,malta,3418,37715,5064382,tdyQ-ebzFgk,1,41133,0.9169037026231979
6,estonia,1066,11289,737166,"a4bfC0NPl1I, zX41EmHGXck",2,12355,0.913719142047754
7,lithuania,2139,22410,1601864,"LzfmYE_HsgM, ut-0TaybLRE",2,24549,0.9128681412684835
8,netherlands,9197,94591,6321136,"bRpw1dLPfgM, Eztx7Wr8PtE",2,103788,0.9113866728330828
9,azerbaijan,3661,35615,1373164,iyZJ_aMw5hY,1,39276,0.9067878602709033
10,spain,18158,145523,6862798,"eWEFU2c3tBI, 1JLtDWvIXNY, pEaS6atxFgc",3,163681,0.8890647051276569
11,norway,2277,18172,1318370,"50WutSRykdE, sq1bH_uo1nU",2,20449,0.8886498117267349
12,albania,1982,15433,885089,"iQWNLc4eLT8, eo4aFzAkQkA",2,17415,0.8861900660350273
13,hungary,3341,25337,1779661,"o-s__gs-16Y, WVW_vZHYnkk, QjVyhLbiIPw",3,28678,0.8834995466908432
14,armenia,6553,45854,4262498,q_46dy4yJwg,1,52407,0.8749594519816055
15,united-kingdom,2361,14443,1217119,"8_IcrNgV-O4, -3nIUKVp75U",2,16804,0.8594977386336586
16,ireland,1736,10372,821795,"LXBIDYh_UE4, RLF2CfiSAFU",2,12108,0.8566237198546416
17,sweden,5755,34151,2814724,"iEEuG5XML-A, allrou65mCY",2,39906,0.8557860973287225
18,russia,27961,163711,6821179,"ovhJHU8wnxU, gEpUgRtXBss",2,191672,0.8541205809925289
19,serbia,1910,10983,708417,"j-5FgSqp2Fg, wofZn3yJiMY",2,12893,0.8518575971457379
20,slovenia,6059,34003,2499158,"2C9W7MbDivU, m4Ci3nrBdno, vleF8-gAn_U",3,40062,0.8487594228945134
21,denmark,3177,16685,1637217,"fAdSQxaXsSk, qgA2BqvwEcI",2,19862,0.8400463196052764
22,latvia,1762,9094,647067,"wfDMzm9ZtrU, 6j61TWsjcJY",2,10856,0.8376934414148858
23,north-macedonia,3993,20392,1217403,Sw-NQ1a1zZ0,1,24385,0.8362517941357391
24,san-marino,2333,10682,759650,l5arNtTYK1s,1,13015,0.8207452938916635
25,czech-republic,4886,20838,1000012,"duSSVY_YJyY, Ho9MuPJPZ90, yH1-uy9FYKE",3,25724,0.810060643756803
26,portugal,9752,40351,2963974,"xSbp8lwCQp8, 9t5_yUNp0bg",2,50103,0.8053609564297547
27,montenegro,1784,7144,555810,"EXmXfHhLBoQ, ZkU1Apx64L0",2,8928,0.8001792114695341
28,israel,14050,55696,3062134,"7d__XXiVJkE, LsA-1gPV8nY",2,69746,0.7985547558282913
29,poland,10523,41508,2686190,"mQSxrcDoZgs, hVkyOjwpUCQ",2,52031,0.7977551844092945
30,moldova,1495,5502,516825,"p3OC8qhZBWQ, areV6tnq3po",2,6997,0.7863370015721023
31,finland,1994,6910,622362,"d4DPGAJhSac, MOBFjpqKSi0",2,8904,0.7760557053009883
32,romania,8344,25454,1719361,"T1dhF0_QyH0, cvzruGxaAO4, _loQfk_ZUOs",3,33798,0.7531214864784899
33,france,46084,137594,8489508,"tCJRigN2DmI, VydsMYa9lyI",2,183678,0.7491044109800847
34,iceland,8644,25282,1672678,"UGrRhIj4FRw, m9VWSF_WuIk, -ELSP8zqhXo",3,33926,0.7452101632965867
35,croatia,8153,17128,1433253,"XH1XfjICYLc, XOwPqUKG83s",2,25281,0.6775048455361734
36,georgia,2748,5725,587797,"QCOMCqOXmUo, KXIbXgwjCUM",2,8473,0.6756756756756757
37,austria,3343,6483,564420,"S2HFBexHDXk, ryNF0hXj1ww",2,9826,0.6597801750457969
38,australia,9337,15844,1382658,"VlpBPO9_L4E, 8RmThfoBB_E",2,25181,0.6292045589928915
39,belarus,9966,12828,1373432,"Ao93RTN90Xs, 2tzuph4cWLw",2,22794,0.5627796788628586
40,germany,19541,23234,2244710,"MHCLVsmJda4, RuqS6-KJFgA",2,42775,0.5431677381648159
